Time (sec)	Radius (micrometer)
0.500000	59.810888
1.000000	65.360919
1.500000	69.088934
2.000000	72.594631
2.500000	74.694093
3.000000	76.440186
3.500000	78.133942
4.000000	78.618537
4.500000	79.753566
5.000000	80.745559
5.500000	81.422723
6.000000	81.634563
6.500000	82.861597
7.000000	84.335873
7.500000	85.362055
8.000000	85.537714
8.500000	86.159399
9.000000	86.873675
9.500000	86.918131
10.000000	87.003533
10.500000	87.126402
11.000000	87.155440
11.500000	87.224911
12.000000	87.394479
12.500000	87.433936
13.000000	87.626938
13.500000	87.701465
14.000000	87.834029
14.500000	87.963874
15.000000	88.153147
15.500000	88.209880
16.000000	88.542036
16.500000	88.86527
17.000000	89.082038
17.500000	89.214132
