Time (sec)	Radius (micrometer)
0.500000	58.200029
1.000000	64.826353
1.500000	69.332991
2.000000	73.504694
2.500000	74.295033
3.000000	77.506575
3.500000	78.413291
4.000000	79.952682
4.500000	81.339708
5.000000	81.938359
5.500000	82.528196
6.000000	82.807452
6.500000	83.378999
7.000000	84.521468
7.500000	84.507216
8.000000	85.064265
8.500000	85.247146
9.000000	85.900079
9.500000	86.475709
10.000000	86.776052
10.500000	87.158810
11.000000	87.343755
11.500000	87.448085
12.000000	87.822712
12.500000	88.140434
13.000000	88.311032
13.500000	88.619312
14.000000	88.970210
14.500000	89.373613
15.000000	89.754486
15.500000	89.900430
16.000000	90.116608
16.500000	90.288358
17.000000	90.711677
17.500000	90.989783
